supplier_name,phone,address
Lakeshore Home Medical Equipment,(312) 555-0142,"1820 N Clark St, Chicago, IL 60614"
Windy City Mobility & DME,(312) 555-0177,"435 W Erie St, Chicago, IL 60654"
Prairie State Medical Supply,(773) 555-0211,"3344 N Western Ave, Chicago, IL 60618"
Northside CarePlus Equipment,(773) 555-0288,"5215 N Clark St, Chicago, IL 60640"
ChicagoLand Durable Medical,(312) 555-0301,"900 S Wabash Ave, Chicago, IL 60605"
Roosevelt Medical Supply Co,(312) 555-0319,"1147 W Roosevelt Rd, Chicago, IL 60608"
Halsted Home Health Supply,(773) 555-0356,"2870 N Halsted St, Chicago, IL 60657"
Midwest Mobility Solutions,(847) 555-0402,"6601 W Touhy Ave, Niles, IL 60714"
Belmont Medical Equipment,(773) 555-0447,"3400 W Belmont Ave, Chicago, IL 60618"
Lincoln Park DME Services,(312) 555-0468,"2401 N Lincoln Ave, Chicago, IL 60614"
South Loop Medical Supply,(312) 555-0490,"1530 S State St, Chicago, IL 60605"
Evanston Home Medical,(847) 555-0533,"1700 Central St, Evanston, IL 60201"
